être,to be,avoir
avoir,to have,avoir
aller,to go,être
pouvoir,to be able,avoir
vouloir,to want,avoir
regarder,to watch,avoir
faire,to do,avoir
savoir,to know,avoir
venir,to come,être
prendre,to take,avoir
écrire,to write,avoir
lire,to read,avoir
devoir,to have to,avoir
mettre,to put,avoir
voir,to see,avoir
découvrir,to discover,avoir
connaître,to know someone,avoir
tenir,hold,avoir
dormir,to sleep,avoir
recevoir,to receive,avoir
choisir,to choose,avoir
vendre,to sell,avoir
finir,to finish,avoir
boire,to drink,avoir
sortir,to go out,être
parler,to speak,avoir
donner,to give,avoir
demander,to ask,avoir
trouver,to find,avoir
passer,to pass,avoir
rester,to stay,être
porter,to carry,avoir
montrer,to show,avoir
étudier,to study,avoir
croire,to believe,avoir
prévoir,to anticipate,avoir
vivre,to live,avoir
apprendre,to learn,avoir
attendre,to wait,avoir
comprendre,to understand,avoir
courir,to run,avoir
dire,to say,avoir
mourir,to die,être
naître,to be born,être
ouvrir,to open,avoir
réussir,to succeed,avoir
rire,to laugh,avoir
tomber,to fall,être
